gender;age;bundesland;w1_dte;w1_q1;w1_q2_level1;w1_q2_level2;w1_q2_level3;w1_q3;w1_q4;w1_q5x1;w1_q5x2;w1_q5x3;w1_q5x4;w1_q5x5;w1_q6;w1_q7;w1_q8x1;w1_q8x2;w1_q8x3;w1_q8x4;w1_q10x1;w1_q10x2;w1_q10x3;w1_q10x4;w1_q10x5;w1_q10x6;w1_q12;w1_q13;w1_q14;w1_q16;w1_q17x1;w1_q17x2;w1_q17x3;w1_q17x4;w1_q17x5;w1_q19x1;w1_q19x2;w1_q19x3;w1_q19x4;w1_q19x5;w1_q19x6;w1_q19x7;w1_q19x8;w1_q20;w1_q21;w1_q23;w1_q24;w1_sd3;w1_sd5r;w1_sd6;w1_sd7;w1_sd8;w1_sd9;w1_sd10;w1_sd12;w1_sd15r;w1_sd16;w1_sd17;w1_sd21r;w1_jw;popnum
Male;87;Vorarlberg;79;2;immigration;asylum/refugees;asylum / admission of refugees;2;3;1;4;2;3;3;2;3;1;1;1;1;1;3;88;5;3;88;5;1;NA;1;5;1;4;1;3;3;3;2;4;5;3;2;1;FALSE;3;10;ÖVP;yes;Austria;vocational middle school ;refused;retired;NA;NA;employee;Roman-Catholic church;once a week;yes;2;no;<2.500
Female;77;Vienna;130;1;immigration;immigration general;immigration / immigrants / foreigners (general);2;4;1;1;2;2;1;3;4;1;1;1;2;1;5;5;4;1;5;8;1;NA;2;4;1;1;1;5;3;3;3;3;2;3;1;3;FALSE;88;10;FPÖ;yes;other;vocational middle school ;1.050 up to 1,200;retired;NA;NA;employee;Roman-Catholic church;less often;no;1;no;1M.+
Male;48;Vienna;95;2;politics;election campaign;profiles of parties;3;1;1;5;1;5;1;3;2;3;2;2;2;3;1;2;3;4;2;2;2;2;NA;3;5;4;2;3;3;3;2;2;5;2;3;3;FALSE;3;10;other;yes;Austria;BHS with diploma ;2,400 up to 2,700;employed;employed, more than 35h weekly;1;NA;none;never;yes;NA;no;1M.+
Male;73;Lower Austria;95;2;security;not classifiable;not classifiable;2;2;1;2;1;4;2;1;3;2;2;1;2;1;3;3;3;4;3;5;1;NA;3;3;1;3;1;3;4;4;2;3;3;3;2;2;TRUE;2;10;SPÖ;yes;Austria;vocational training/school;3,000 up to 3,300;retired;NA;NA;employee;Roman-Catholic church;less often;no;1;no;10.000-
Male;71;Salzburg;104;2;security;not classifiable;not classifiable;2;3;1;1;2;3;1;2;3;1;1;1;1;1;4;3;4;1;5;4;2;1;2;4;1;2;2;4;2;2;4;1;2;2;2;1;TRUE;2;10;SPÖ;yes;Austria;vocational training/school;2,400 up to 2,700;retired;NA;NA;self-employed without employees;Roman-Catholic church;less often;no;NA;no;2.500-
Female;19;Upper Austria;105;2;don't know;don't know;don't know;3;3;3;4;3;4;2;2;2;2;2;2;4;3;2;3;5;4;88;1;1;NA;2;2;2;3;2;4;5;5;3;4;4;5;3;5;TRUE;2;10;ÖVP;yes;Austria;BHS with diploma ;refused;a student at university;NA;NA;NA;Roman-Catholic church;only on special holidays;no;NA;yes;5.000-
Female;19;Upper Austria;128;3;immigration;asylum/refugees;asylum / admission of refugees;3;2;1;3;1;4;1;2;3;2;3;4;4;3;1;1;5;88;88;2;1;NA;2;4;4;1;2;4;4;2;4;5;4;2;4;2;FALSE;1;10;Greens;yes;Austria;AHS with diploma;3,000 up to 3,300;employed;employed,15 - 35h weekly;1;NA;none;never;no;4;yes;<2.500
Male;76;Styria;128;2;budget;taxes general;tax policy (general);2;3;2;2;3;4;1;3;3;2;1;1;3;1;4;4;1;2;5;3;2;1;2;4;3;2;3;4;2;2;4;3;3;2;2;2;FALSE;3;10;SPÖ;yes;Austria;vocational training/school;don't know;retired;NA;NA;blue-collar worker;Roman-Catholic church;at least once a month;no;2;no;10.000-
Male;76;Lower Austria;96;3;don't know;don't know;don't know;2;3;2;1;3;2;3;2;3;2;2;2;1;1;3;4;3;1;5;7;1;NA;2;2;1;1;1;3;1;1;3;3;3;1;1;3;FALSE;4;10;ÖVP;yes;Austria;vocational training/school;3,600 up to 3,900;retired;NA;NA;employee;none;less often;no;2;no;5.000-
Male;28;Carinthia;97;2;refused;refused;refused;2;2;2;3;5;3;2;2;3;1;1;1;1;1;3;3;4;4;4;2;2;1;3;3;5;5;3;2;3;3;3;3;5;3;2;2;FALSE;3;10;NEOS;yes;Austria;BHS with diploma ;3,900 and more;employed;employed, more than 35h weekly;1;NA;Roman-Catholic church;less often;no;NA;no;10.000-
Male;67;Vienna;81;1;immigration;asylum/refugees;asylum / admission of refugees;1;3;4;3;4;1;4;1;4;3;3;1;1;1;4;4;1;1;4;6;1;NA;2;4;3;1;4;3;5;5;1;5;3;88;3;4;FALSE;3;10;ÖVP;yes;Austria;Magister/Master;3,900 and more;retired;NA;NA;employee;none;never;no;2;no;1M.+
Male;60;Lower Austria;117;1;formation of government;preference of coalition/formation of government;government formation / coalition composition (general);2;3;1;4;3;5;2;4;4;1;2;1;2;5;2;2;5;4;2;3;1;NA;2;4;3;4;3;2;3;3;3;2;4;4;2;1;FALSE;3;10;SPÖ;yes;Austria;vocational middle school ;3,300 up to 3,600;retired;NA;NA;employee;Roman-Catholic church;less often;no;NA;no;10.000-
Male;18;Upper Austria;99;1;welfare state;family/children/adolescents;children / youth (general);3;5;1;5;3;5;1;1;3;1;1;1;4;1;1;1;5;2;4;6;2;1;3;5;1;5;1;1;5;1;5;4;5;1;1;1;TRUE;2;10;ÖVP;yes;Austria;BHS with diploma ;3,600 up to 3,900;a student at school;NA;NA;NA;Roman-Catholic church;only on special holidays;no;NA;yes;5.000-
Female;45;Lower Austria;129;2;don't know;don't know;don't know;3;3;1;3;2;3;1;2;3;2;2;2;3;3;2;3;3;3;3;4;2;1;2;3;4;4;2;4;3;4;3;2;3;2;88;4;FALSE;3;10;NEOS;yes;Austria;vocational middle school ;refused;employed;employed,15 - 35h weekly;1;NA;Roman-Catholic church;once a week;no;3;no;10.000-
Female;67;Upper Austria;73;1;reform of institutions;political system/governmental system;calling early elections;1;3;1;3;1;5;1;1;3;1;1;1;1;1;1;1;5;3;5;5;2;2;NA;5;1;1;1;5;2;3;2;5;5;4;3;3;FALSE;88;10;SPÖ;yes;Austria;vocational training/school;2,700 up to 3,000;retired;NA;NA;employee;Roman-Catholic church;less often;no;2;no;<2.500
Female;45;Tyrol;125;1;welfare state;family/children/adolescents;families (social group / general);2;3;1;4;1;4;1;1;3;3;3;1;1;2;4;3;4;3;5;2;1;NA;2;2;88;5;2;3;3;3;3;3;3;4;3;4;TRUE;2;10;SPÖ;yes;Austria;BHS with diploma ;refused;employed;employed, more than 35h weekly;5;NA;Roman-Catholic church;less often;no;2;no;5.000-
Male;32;Vienna;80;2;reform of institutions;political system/governmental system;calling early elections;2;2;2;4;2;3;2;2;2;2;2;2;2;3;3;2;4;4;2;4;2;1;2;2;3;5;2;2;4;4;3;4;4;3;4;4;TRUE;2;10;Greens;yes;Austria;AHS with diploma;3,300 up to 3,600;employed;employed, more than 35h weekly;1;NA;none;never;no;2;no;1M.+
Male;65;Lower Austria;96;1;immigration;integration of foreigners;integration of immigrants (general);2;3;2;3;1;3;1;1;3;1;1;1;2;1;3;3;4;3;2;6;1;NA;2;3;3;4;1;3;3;3;3;4;3;2;3;2;FALSE;3;10;ÖVP;yes;Austria;Magister/Master;don't know;employed;employed, more than 35h weekly;5;NA;Roman-Catholic church;daily;no;88;no;5.000-
Female;65;Tyrol;114;2;economy;job market/unemployment;unemployment (general);4;3;1;2;2;2;1;2;4;1;1;1;2;1;4;4;2;1;5;5;2;1;2;2;2;2;3;4;1;1;5;1;1;1;3;2;FALSE;3;10;ÖVP;yes;Austria;vocational middle school ;1,950 up to 2,100;retired;NA;NA;employee;Roman-Catholic church;once a week;no;2;no;<2.500
Male;65;Upper Austria;97;1;immigration;asylum/refugees;asylum / admission of refugees;2;3;1;1;3;3;2;1;3;2;1;1;2;1;3;3;5;3;4;6;2;2;NA;2;1;4;3;4;3;2;2;2;1;4;1;1;FALSE;3;10;ÖVP;yes;Austria;vocational training/school;2,250 up to 2,400;retired;NA;NA;employee;Roman-Catholic church;only on special holidays;no;2;no;10.000-
Female;74;Upper Austria;121;2;education and culture;education general;education / education policy (general);2;3;4;3;2;3;1;2;3;2;2;1;2;1;1;1;5;4;4;4;1;NA;2;3;2;3;1;4;1;4;4;3;4;2;1;88;TRUE;2;10;ÖVP;yes;Austria;primary school/secondary education first stage;1,350 up to 1,500;retired;NA;NA;farmer;Roman-Catholic church;once a week;no;5;no;<2.500
Female;49;Upper Austria;75;3;welfare state;pension;pensioners / elderly people (general);3;3;1;3;1;5;1;2;3;2;3;2;2;2;2;2;3;3;5;3;2;1;3;5;2;3;2;4;4;3;3;4;4;3;2;1;FALSE;3;10;SPÖ;yes;Austria;AHS with diploma;3,000 up to 3,300;employed;employed,15 - 35h weekly;1;NA;Roman-Catholic church;only on special holidays;no;4;no;<2.500
Female;73;Lower Austria;115;3;don't know;don't know;don't know;3;3;3;3;1;1;1;2;4;1;1;1;3;1;3;3;5;1;5;5;1;NA;2;1;1;1;1;5;5;5;5;5;1;1;1;5;FALSE;88;10;FPÖ;yes;Austria;vocational training/school;1,650 up to 1,800;a homemaker;NA;NA;NA;none;less often;no;2;no;10.000-
Male;61;Upper Austria;118;2;education and culture;school;schools / school infrastructure (general);2;3;3;2;3;3;3;2;4;1;2;1;3;1;3;3;4;3;4;5;1;NA;2;3;3;3;2;4;2;3;3;3;4;2;3;3;FALSE;3;9;ÖVP;yes;Austria;vocational training/school;3,000 up to 3,300;retired;NA;NA;employee;Roman-Catholic church;once a week;no;NA;no;2.500-
Male;69;Tyrol;75;1;immigration;immigration general;immigration / immigrants / foreigners (general);4;3;2;1;3;3;1;3;4;3;3;2;4;1;3;5;3;1;5;8;2;1;2;5;4;1;1;5;3;2;4;1;4;3;1;1;TRUE;2;10;FPÖ;yes;Austria;AHS with diploma;1,650 up to 1,800;retired;NA;NA;public official;none;never;no;1;no;50.000-
Male;38;Vienna;128;2;economy;consumers/habitation;rent/housing costs  (general) ;3;3;4;3;2;4;4;3;3;2;1;2;1;88;3;2;2;3;3;5;2;1;3;5;5;1;1;5;5;5;3;5;4;5;1;5;TRUE;2;10;SPÖ;yes;Austria;vocational training/school;1,800 up to 1,950;employed;employed, more than 35h weekly;5;NA;none;less often;no;2;no;1M.+
Male;61;Lower Austria;116;2;refused;refused;refused;2;4;2;3;4;3;3;2;4;2;1;1;2;1;5;4;3;4;4;5;1;NA;2;4;4;4;2;4;3;5;5;3;4;5;4;3;TRUE;2;10;ÖVP;yes;Austria;vocational middle school ;3,900 and more;employed;employed, more than 35h weekly;1;NA;Roman-Catholic church;only on special holidays;yes;NA;no;NA
Male;35;Styria;76;3;economy;consumers/habitation;rent/housing costs  (general) ;4;4;1;4;2;1;1;3;3;1;1;1;2;1;3;3;4;2;4;4;1;NA;1;3;5;88;3;4;4;2;4;4;4;2;88;1;TRUE;2;10;other;yes;Austria;primary school/secondary education first stage;1,350 up to 1,500;unfit for work;NA;NA;blue-collar worker;none;never;no;1;no;50.000-
Female;42;Upper Austria;94;1;immigration;integration of foreigners;integration of immigrants (general);2;3;1;4;2;5;1;1;4;2;2;2;1;4;1;3;4;3;4;3;2;1;2;1;3;4;1;2;3;3;3;4;4;4;3;3;FALSE;3;10;Greens;yes;Austria;Magister/Master;3,900 and more;employed;employed, more than 35h weekly;3;NA;Roman-Catholic church;once a week;yes;2;no;2.500-
Female;53;Lower Austria;118;2;politics;election campaign;profiles of parties;2;3;2;3;3;4;2;3;2;1;1;2;3;1;4;5;3;2;5;2;1;NA;2;1;2;3;1;4;2;3;4;2;4;3;1;3;FALSE;88;10;SPÖ;yes;Austria;BHS with diploma ;3,900 and more;employed;employed, more than 35h weekly;1;NA;Roman-Catholic church;less often;yes;3;no;5.000-
Female;48;Upper Austria;103;2;education and culture;education general;education / education policy (general);2;2;2;2;2;3;1;2;2;2;2;1;1;1;2;2;3;2;3;5;2;1;3;3;3;4;2;3;3;2;3;3;3;2;1;2;FALSE;88;9;ÖVP;yes;Austria;BHS with diploma ;3,900 and more;employed;employed, more than 35h weekly;1;NA;Roman-Catholic church;at least once a month;yes;4;no;<2.500
Female;28;Lower Austria;90;3;don't know;don't know;don't know;4;3;1;3;1;5;1;4;4;1;1;2;4;1;2;2;5;3;5;5;2;2;NA;5;1;5;1;5;5;4;5;1;3;1;1;3;FALSE;88;7;FPÖ;yes;Austria;vocational training/school;1,950 up to 2,100;employed;employed,15 - 35h weekly;2;NA;Protestant church;never;no;NA;no;10.000-
Female;60;Salzburg;102;1;reform of institutions;political system/governmental system;calling early elections;1;3;1;4;1;1;1;1;1;1;1;1;3;2;2;2;2;2;2;3;1;NA;NA;4;4;4;2;4;4;4;2;4;4;4;4;2;FALSE;3;10;SPÖ;yes;Austria;vocational middle school ;refused;retired;NA;NA;employee;Roman-Catholic church;once a week;yes;2;no;10.000-
Female;76;Styria;79;1;immigration;immigration general;immigration / immigrants / foreigners (general);2;3;2;4;1;3;2;2;2;1;1;1;2;1;3;3;4;2;88;5;1;NA;2;3;1;3;2;4;3;4;2;88;4;3;88;3;FALSE;88;10;SPÖ;yes;Austria;university-related college ;3,000 up to 3,300;retired;NA;NA;public official;Protestant church;only on special holidays;yes;2;no;10.000-
Male;17;Carinthia;111;3;environment protection;environmentalism (gen.);environmental protection/sustainability/conservation (general);88;4;2;1;3;3;2;2;88;1;2;2;2;1;1;2;4;2;88;7;2;2;NA;1;3;3;1;3;3;2;3;3;2;1;3;3;TRUE;2;5;Greens;yes;Austria;BHS with diploma ;don't know;a student at school;NA;NA;NA;Roman-Catholic church;less often;no;NA;yes;50.000-
Male;19;Lower Austria;107;2;don't know;don't know;don't know;2;3;1;5;1;4;88;2;4;4;4;3;2;3;1;1;5;5;1;0;2;1;3;4;5;5;2;2;4;5;3;3;5;3;4;4;TRUE;2;10;NEOS;yes;Austria;primary school/secondary education first stage;refused;a student at school;NA;NA;NA;Roman-Catholic church;never;no;NA;yes;2.500-
Male;43;Lower Austria;95;1;reform of institutions;political system/governmental system;calling early elections;1;3;1;4;1;5;2;2;2;1;2;1;2;3;3;1;4;4;4;3;1;NA;1;4;4;4;3;3;3;3;3;5;5;3;5;4;TRUE;2;10;SPÖ;yes;Austria;vocational middle school ;2,400 up to 2,700;employed;employed, more than 35h weekly;5;NA;Roman-Catholic church;less often;no;NA;no;2.500-
Male;62;Upper Austria;110;3;reform of institutions;political system/governmental system;calling early elections;2;3;1;4;2;5;1;3;3;1;1;1;3;1;3;4;5;2;5;3;1;NA;2;5;3;1;1;5;5;4;2;4;5;2;3;2;FALSE;3;9;SPÖ;yes;Austria;vocational training/school;1,950 up to 2,100;retired;NA;NA;blue-collar worker;Roman-Catholic church;at least once a month;no;2;no;2.500-
Male;72;Upper Austria;81;1;immigration;immigration general;immigration / immigrants / foreigners (general);3;3;1;2;3;3;1;3;4;1;1;2;3;1;3;4;4;1;4;5;1;NA;2;2;2;2;3;4;4;3;3;3;2;2;2;2;FALSE;3;10;ÖVP;yes;Austria;vocational middle school ;3,900 and more;retired;NA;NA;self-employed with employees;Roman-Catholic church;at least once a month;no;2;no;2.500-
Female;28;Carinthia;90;2;don't know;don't know;don't know;1;5;3;4;5;4;5;3;4;4;4;4;4;5;4;4;4;3;4;4;1;NA;2;88;5;3;3;4;4;4;5;3;88;5;5;5;TRUE;2;4;Greens;yes;Bosnia, Croatia, Serbia, Former Yugoslavia;polytechnic institute;900 up to 1,050;unfit for work;NA;NA;self-employed without employees;Islamic religious community;at least once a month;no;NA;no;NA
Male;29;Lower Austria;90;4;don't know;don't know;don't know;4;5;2;2;3;1;3;88;4;2;2;2;2;4;4;3;4;4;4;5;88;NA;NA;3;3;3;3;3;2;3;3;3;4;2;2;2;FALSE;88;6;FPÖ;yes;Austria;primary school/secondary education first stage;1,950 up to 2,100;employed;employed, more than 35h weekly;2;NA;Roman-Catholic church;never;no;NA;no;2.500-
Female;19;Styria;105;3;security;terrorism;terrorism (general);2;2;3;4;3;3;2;2;3;3;2;2;3;4;3;4;4;3;4;88;2;88;NA;4;3;3;3;4;4;88;88;5;5;3;4;5;FALSE;3;4;FPÖ;yes;Austria;primary school/secondary education first stage;600 to less than 750;other training;NA;NA;NA;Roman-Catholic church;at least once a month;no;NA;yes;2.500-
Female;90;Vienna;96;2;immigration;asylum/refugees;asylum / admission of refugees;2;3;1;5;88;1;1;2;2;1;1;1;1;3;3;3;3;2;3;5;2;1;3;5;2;3;1;1;3;5;3;99;99;3;1;1;FALSE;3;10;ÖVP;yes;Austria;Magister/Master;1,200 up to 1,350;retired;NA;NA;public official;Roman-Catholic church;at least once a month;no;2;no;1M.+
Female;41;Lower Austria;108;1;education and culture;education general;education / education policy (general);3;3;1;1;3;4;1;2;3;3;3;1;1;1;1;3;5;5;5;4;1;NA;2;1;5;5;1;5;5;3;3;5;1;3;5;3;TRUE;2;10;SPÖ;yes;Poland, Slovakia, Slovenia, Czech Republic, Hungary;Magister/Master;don't know;employed;employed, more than 35h weekly;5;NA;Roman-Catholic church;never;no;4;no;10.000-
Female;55;Lower Austria;101;2;education and culture;education general;education / education policy (general);2;1;2;2;3;3;3;2;3;1;2;2;2;1;2;3;4;2;5;1;2;2;NA;3;4;3;1;3;1;2;3;1;4;1;1;1;FALSE;1;10;SPÖ;yes;Austria;AHS with diploma;don't know;employed;employed, more than 35h weekly;2;NA;none;never;no;5;no;5.000-
Male;63;Upper Austria;100;2;politics;party-related politics;intra-party conflicts;2;3;1;1;3;3;1;3;4;1;1;1;1;2;4;3;3;3;5;2;1;NA;NA;3;3;3;3;4;1;2;4;3;2;3;2;2;FALSE;3;10;ÖVP;yes;Austria;vocational training/school;3,900 and more;employed;employed,15 - 35h weekly;6;NA;Roman-Catholic church;only on special holidays;no;2;no;2.500-
Female;68;Styria;130;2;immigration;asylum/refugees;asylum / admission of refugees;3;3;2;1;2;5;1;2;2;1;1;1;2;1;3;3;4;2;4;5;1;NA;1;3;2;3;1;3;3;4;3;3;4;3;2;2;FALSE;4;10;ÖVP;yes;Austria;elementary school or less;1,350 up to 1,500;retired;NA;NA;farmer;Roman-Catholic church;once a week;no;4;no;2.500-
Male;20;Burgenland;74;1;immigration;asylum/refugees;asylum / admission of refugees;4;2;2;2;1;3;2;4;4;2;2;1;3;1;5;5;3;1;5;7;1;NA;1;5;3;1;2;4;3;2;4;3;2;3;3;2;TRUE;2;10;FPÖ;yes;Austria;BHS with diploma ;2,700 up to 3,000;military/civilian service, voluntary social year;NA;NA;don't know;Roman-Catholic church;less often;no;2;no;<2.500
Male;45;Upper Austria;78;1;immigration;immigration general;immigration / immigrants / foreigners (general);3;3;1;3;1;3;1;3;2;1;1;1;1;2;3;3;4;2;4;5;2;1;3;4;1;1;2;4;1;2;3;3;3;1;1;2;TRUE;2;10;SPÖ;yes;Austria;vocational training/school;2,400 up to 2,700;employed;employed, more than 35h weekly;1;NA;Roman-Catholic church;less often;yes;2;no;<2.500
Female;45;Lower Austria;116;2;education and culture;education general;education / education policy (general);2;3;1;1;4;2;1;3;3;1;1;1;1;1;4;3;3;1;5;4;1;NA;2;3;2;1;2;3;2;3;5;2;5;2;1;4;TRUE;2;10;NEOS;yes;Austria;vocational middle school ;2,700 up to 3,000;employed;employed,15 - 35h weekly;1;NA;Roman-Catholic church;less often;no;2;no;<2.500
Female;19;Styria;128;2;immigration;immigration general;immigration / immigrants / foreigners (general);4;2;1;4;1;5;1;2;2;3;2;1;2;2;2;3;4;1;4;5;2;2;NA;5;1;5;1;4;2;4;3;2;5;2;4;4;FALSE;3;10;ÖVP;yes;Austria;primary school/secondary education first stage;750 up to 900;a student at school;NA;NA;NA;Roman-Catholic church;less often;no;2;yes;50.000-
Male;32;Upper Austria;90;1;reform of institutions;political system/governmental system;calling early elections;2;2;1;4;1;3;1;2;2;2;4;2;2;2;2;2;3;4;3;4;1;NA;2;3;4;5;2;4;3;3;3;4;5;3;3;3;TRUE;2;10;SPÖ;yes;Austria;BHS with diploma ;3,600 up to 3,900;employed;employed, more than 35h weekly;1;NA;none;never;no;NA;no;10.000-
Male;76;Upper Austria;125;2;budget;budget, government debt;financial policy (general);2;3;2;1;3;3;3;3;3;2;2;2;1;2;3;3;3;4;3;7;1;NA;2;3;4;3;3;4;3;3;3;2;4;3;2;2;FALSE;3;10;ÖVP;yes;Austria;Magister/Master;2,100 up to 2,250;retired;NA;NA;employee;Roman-Catholic church;once a week;no;2;no;10.000-
Female;18;Lower Austria;104;2;economy;job market/unemployment;unemployment (general);3;3;1;4;3;3;2;2;2;4;3;3;1;2;1;2;4;3;3;3;1;NA;3;3;4;4;2;4;2;2;4;2;5;1;1;3;TRUE;2;10;Greens;yes;Austria;AHS with diploma;1.050 up to 1,200;unemployed or seeking for work;NA;NA;don't know;Roman-Catholic church;less often;no;NA;yes;<2.500
Male;50;Upper Austria;118;2;security;not classifiable;not classifiable;2;2;1;5;2;2;2;2;3;3;3;2;2;3;2;3;3;3;4;4;2;1;2;3;3;4;2;2;3;4;4;3;3;5;2;4;FALSE;1;10;SPÖ;yes;Austria;BHS with diploma ;3,600 up to 3,900;employed;employed, more than 35h weekly;5;NA;Roman-Catholic church;less often;no;NA;no;2.500-
Male;27;Lower Austria;94;2;formation of government;preference of coalition/formation of government;government formation / coalition composition (general);3;4;1;3;3;3;1;3;4;1;4;1;3;1;4;3;2;1;5;4;88;NA;NA;3;1;5;4;5;4;1;5;2;3;1;1;2;FALSE;1;10;FPÖ;yes;Austria;vocational middle school ;1,500 up to 1,650 ;employed;employed, more than 35h weekly;1;NA;none;never;yes;NA;no;5.000-
Female;17;Vienna;109;3;reform of institutions;political system/governmental system;reference to another country;4;4;1;5;1;3;1;4;3;3;4;4;4;1;3;2;4;3;4;1;1;NA;3;1;4;4;2;5;88;1;5;2;1;2;2;1;FALSE;1;10;Greens;yes;Austria;polytechnic institute;1.050 up to 1,200;a student at school;NA;NA;NA;Islamic religious community;less often;no;NA;yes;1M.+
Female;33;Vienna;94;3;don't know;don't know;don't know;4;4;2;2;2;4;3;2;2;1;1;1;1;3;3;3;4;4;88;0;1;NA;2;1;4;4;2;3;3;3;4;3;3;3;1;2;FALSE;88;10;Greens;yes;Austria;vocational training/school;3,600 up to 3,900;employed;employed,15 - 35h weekly;2;NA;Roman-Catholic church;less often;yes;2;no;1M.+
Female;24;Vienna;89;2;immigration;asylum/refugees;asylum / admission of refugees;3;3;1;5;1;5;1;2;3;1;4;1;1;2;1;1;5;3;88;3;1;NA;2;2;4;5;1;2;5;5;2;2;2;5;4;2;TRUE;2;10;Greens;yes;Austria;Bachelor;3,900 and more;employed;employed,15 - 35h weekly;1;NA;Roman-Catholic church;less often;no;2;no;1M.+
Female;20;Upper Austria;73;2;education and culture;education general;education / education policy (general);3;3;1;5;1;1;1;3;4;2;3;3;2;3;1;1;5;5;5;2;2;1;2;5;5;5;1;4;5;2;4;4;5;2;2;2;TRUE;2;10;other;yes;Austria;AHS with diploma;3,000 up to 3,300;a student at university;NA;NA;NA;Roman-Catholic church;less often;no;5;no;10.000-
Male;67;Vorarlberg;74;1;reform of institutions;political system/governmental system;calling early elections;2;3;1;5;1;5;1;2;3;3;3;4;2;5;2;2;5;4;88;0;1;NA;1;1;5;5;2;2;4;3;2;4;5;4;4;2;TRUE;2;10;SPÖ;yes;Austria;university-related college ;3,900 and more;retired;NA;NA;public official;none;never;yes;2;no;10.000-
Female;36;Vienna;117;3;budget;taxes general;tax reduction/ decrease of tax and contribution ratio (general);3;2;1;4;1;5;1;3;4;1;1;1;2;1;4;4;3;1;5;6;2;1;3;2;2;1;3;4;1;2;4;1;1;1;1;3;TRUE;2;8;ÖVP;yes;Austria;Magister/Master;3,900 and more;employed;employed, more than 35h weekly;1;NA;none;never;no;NA;no;1M.+
Female;19;Upper Austria;102;3;immigration;integration of foreigners;integration of immigrants (general);4;4;2;2;3;3;3;3;2;4;3;2;2;1;4;3;3;2;5;5;2;1;2;3;4;1;1;5;3;2;4;3;2;1;3;3;FALSE;1;8;SPÖ;yes;Austria;primary school/secondary education first stage;refused;a student at school;NA;NA;NA;Roman-Catholic church;less often;no;NA;yes;<2.500
Male;38;Styria;73;1;budget;taxes for individuals;inheritance tax;4;4;1;5;1;5;1;3;4;1;1;3;88;88;1;1;88;88;1;2;2;1;3;1;5;5;1;5;1;1;5;2;5;1;1;1;FALSE;3;10;other;yes;Bosnia, Croatia, Serbia, Former Yugoslavia;Bachelor;750 up to 900;employed;employed, more than 35h weekly;1;NA;Christian-orthodox church;never;no;1;no;50.000-
Female;51;Upper Austria;79;2;immigration;asylum/refugees;asylum / admission of refugees;3;3;3;2;3;2;2;2;3;1;1;1;3;1;4;4;2;3;3;5;1;NA;2;4;2;3;3;5;2;3;3;3;2;2;3;2;TRUE;2;10;ÖVP;yes;Austria;BHS with diploma ;refused;employed;employed,15 - 35h weekly;1;NA;Roman-Catholic church;only on special holidays;no;2;no;<2.500
Female;75;Upper Austria;102;2;immigration;asylum/refugees;asylum / admission of refugees;2;3;2;4;2;4;2;1;3;2;2;1;1;2;3;3;4;2;4;4;1;NA;2;4;3;4;1;4;4;2;4;2;5;4;4;2;FALSE;3;10;SPÖ;yes;Germany;university-related college ;3,300 up to 3,600;retired;NA;NA;self-employed without employees;none;never;no;1;no;<2.500
Male;50;Upper Austria;72;1;reform of institutions;political system/governmental system;calling early elections;2;3;1;2;3;3;3;2;3;1;1;1;2;1;3;2;4;3;2;3;1;NA;2;5;4;5;2;3;4;3;3;4;3;1;4;2;TRUE;2;10;SPÖ;yes;Austria;vocational training/school;3,900 and more;employed;employed, more than 35h weekly;5;NA;Roman-Catholic church;less often;yes;2;no;5.000-
Male;67;Tyrol;125;1;immigration;immigration general;immigration / immigrants / foreigners (general);2;3;1;2;2;4;1;2;4;2;1;1;3;1;5;5;2;1;5;99;2;1;1;4;1;1;4;3;1;4;3;2;2;2;2;1;FALSE;3;7;ÖVP;yes;Germany;vocational training/school;don't know;retired;NA;NA;employee;none;less often;no;2;no;5.000-
Female;41;Styria;110;3;reform of institutions;political system/governmental system;calling early elections;3;3;1;3;4;3;4;3;2;1;2;2;2;1;3;3;4;3;4;4;2;1;3;3;88;3;2;3;4;3;3;3;3;3;3;3;FALSE;88;10;ÖVP;yes;Austria;vocational training/school;2,100 up to 2,250;employed;employed, more than 35h weekly;1;NA;Roman-Catholic church;only on special holidays;no;NA;no;2.500-
Female;51;Styria;95;3;welfare state;welfare state (gen.);social policy / welfare state (general);2;3;1;3;2;3;1;3;3;1;2;2;3;1;5;3;2;4;88;5;2;1;2;5;3;2;2;4;4;3;3;4;3;4;2;3;TRUE;2;10;ÖVP;yes;Austria;vocational middle school ;2,700 up to 3,000;employed;employed,15 - 35h weekly;1;NA;Roman-Catholic church;at least once a month;no;3;no;2.500-
Male;69;Styria;96;1;economy;economy: employees;minimum wage;2;3;1;2;1;2;1;1;3;3;3;2;3;1;4;4;4;4;4;5;1;NA;2;5;4;4;4;4;1;2;4;1;4;1;4;2;FALSE;3;10;SPÖ;yes;Austria;Bachelor;2,400 up to 2,700;retired;NA;NA;public official;none;less often;yes;2;no;<2.500
Female;68;Lower Austria;74;1;reform of institutions;political system/governmental system;calling early elections;2;4;4;2;3;2;1;2;3;1;2;2;3;1;4;3;4;2;5;8;1;NA;2;4;1;1;4;5;4;4;2;4;5;1;4;3;FALSE;1;10;ÖVP;yes;Austria;vocational middle school ;2,700 up to 3,000;retired;NA;NA;farmer;Roman-Catholic church;once a week;no;3;no;<2.500
